training steps,meanppl,nproj_sum,nproj_triu,nproj_tril,nproj_none,proj_sum,proj_triu,proj_tril,proj_none
off-shelf,3.302884,0.450,0.436,0.424,0.461,0.464,0.459,0.443,0.442
1500,6.092419,0.396,0.357,0.374,0.377,0.423,0.389,0.406,0.385
1000,5.753842,0.432,0.388,0.403,0.418,0.455,0.417,0.430,0.420
500,5.938785,0.335,0.289,0.313,0.310,0.377,0.341,0.362,0.342
100,6.195083,0.460,0.432,0.430,0.457,0.475,0.453,0.450,0.462
50,8.515644,0.131,0.127,0.135,0.130,0.224,0.228,0.233,0.246
10,8.972310,0.098,0.105,0.129,0.101,0.143,0.166,0.198,0.188










