"","avg_uuas","avg_precis_longdepFALSE","avg_recall_longdepFALSE","avg_precis_longdepTRUE","avg_recall_longdepTRUE"
"DistilBERT",0.506937602107805,0.584458680395529,0.768115820136956,0.358209710509059,0.246300348771934
"BERT-base",0.500627293196416,0.596692305792289,0.784232093783945,0.314640664961917,0.216918847004264
"BERT-large",0.496642817152826,0.568659353750188,0.855681249830293,0.270365207497365,0.138018759750563
"XLNet-base",0.480885908342599,0.605717977868558,0.700421101509765,0.316797499593487,0.264889519282712
"XLNet-large",0.432214440800672,0.621546478581634,0.632811875765578,0.24615640706144,0.236771508850211
"XLM",0.460640701268778,0.634803514607597,0.675999028743444,0.268467882845196,0.246043198857332
"Bart",0.415489211122736,0.551380133018246,0.649323035819056,0.229014006900144,0.178794027093134
"GPT2",0.381967349427051,0.531794952480691,0.405305961125747,0.290353584678319,0.358933544056527
"Word2Vec",0.403427238704241,0.618055769390033,0.594675569803617,0.205881435764859,0.214307364327181
"LSTM",0.464649909517695,0.548358289765817,0.732915930194867,0.292494807725337,0.196882999569683
"ONLSTM",0.46817671634411,0.552198859049046,0.734180911780143,0.296407927629876,0.203956077727033
"ONLSTM-SYD",0.470819837608254,0.55423989574131,0.739610631322879,0.299012370136404,0.203494571451495
"baseline_linear",0.50056744396666,0.50056744396666,1,NA,NA
"baseline_random",0.249318091099715,0.504428271935027,0.370343025783488,0.100565427369758,0.125147897023153
